PERMNO,date,DIVAMT,RETX
10104,2019-01-02,,0.001550
10104,2019-01-03,,-0.009730
10104,2019-01-04,,0.043100
10104,2019-01-07,,0.015842
10104,2019-01-08,,0.009062
10104,2019-01-09,,-0.002089
10104,2019-01-10,,0.000837
10104,2019-01-11,,0.009829
10104,2019-01-14,,-0.002278
10104,2019-01-15,0.19000,0.004151
10104,2019-01-16,,-0.006614
10104,2019-01-17,,0.010820
10104,2019-01-18,,0.014203
10104,2019-01-22,,-0.006698
10104,2019-01-23,,0.006130
10104,2019-01-24,,-0.000812
10104,2019-01-25,,0.012195
10104,2019-01-28,,-0.005622
10104,2019-01-29,,0.001817
10104,2019-01-30,,0.015118
10104,2019-01-31,,-0.002581
10104,2019-02-01,,0.011547
10104,2019-02-04,,0.004330
10104,2019-02-05,,0.004115
10104,2019-02-06,,0.000390
10104,2019-02-07,,-0.020289
10104,2019-02-08,,0.016129
10104,2019-02-11,,0.003919
10104,2019-02-12,,-0.000195
10104,2019-02-13,,0.003905
10104,2019-02-14,,0.001167
10104,2019-02-15,,0.004662
10104,2019-02-19,,0.005800
10104,2019-02-20,,-0.004806
10104,2019-02-21,,0.006568
10104,2019-02-22,,0.007100
10104,2019-02-25,,0.001524
10104,2019-02-26,,0.000761
10104,2019-02-27,,-0.004182
10104,2019-02-28,,-0.004773
10104,2019-03-01,,0.007289
10104,2019-03-04,,-0.008951
10104,2019-03-05,,0.006149
10104,2019-03-06,,-0.000191
10104,2019-03-07,,0.004394
10104,2019-03-08,,0.003614
10104,2019-03-11,,-0.002085
10104,2019-03-12,,0.002659
10104,2019-03-13,,0.004924
10104,2019-03-14,,-0.000189
10104,2019-03-15,,-0.002074
10104,2019-03-18,,0.009822
10104,2019-03-19,,0.010849
10104,2019-03-20,,-0.025907
10104,2019-03-21,,0.026596
10104,2019-03-22,,-0.023501
10104,2019-03-25,,-0.000568
10104,2019-03-26,,0.010239
10104,2019-03-27,,-0.008821
10104,2019-03-28,,0.007196
10104,2019-03-29,,0.009776
10104,2019-04-01,,0.016198
10104,2019-04-02,,-0.007878
10104,2019-04-03,,-0.001662
10104,2019-04-04,,-0.004440
10104,2019-04-05,,0.002044
10104,2019-04-08,,-0.003894
10104,2019-04-09,,0.002048
10104,2019-04-10,0.24000,0.002601
10104,2019-04-11,,-0.003335
10104,2019-04-12,,0.013199
10104,2019-04-15,,0.002385
10104,2019-04-16,,-0.000732
10104,2019-04-17,,-0.002015
10104,2019-04-18,,0.000734
10104,2019-04-22,,0.001834
10104,2019-04-23,,0.005859
10104,2019-04-24,,0.004368
10104,2019-04-25,,-0.003081
10104,2019-04-26,,0.007271
10104,2019-04-29,,-0.005956
10104,2019-04-30,,0.004539
10104,2019-05-01,,-0.008133
10104,2019-05-02,,-0.005102
10104,2019-05-03,,0.003480
10104,2019-05-06,,0.001095
10104,2019-05-07,,-0.015497
10104,2019-05-08,,-0.000185
10104,2019-05-09,,0.004816
10104,2019-05-10,,0.007373
10104,2019-05-13,,-0.022324
10104,2019-05-14,,0.013101
10104,2019-05-15,,0.007944
10104,2019-05-16,,0.001466
10104,2019-05-17,,-0.002562
10104,2019-05-20,,-0.015413
10104,2019-05-21,,0.009504
10104,2019-05-22,,0.000554
10104,2019-05-23,,-0.020664
10104,2019-05-24,,-0.005840
10104,2019-05-28,,-0.019329
10104,2019-05-29,,-0.001159
10104,2019-05-30,,0.000580
10104,2019-05-31,,-0.021655
10104,2019-06-03,,-0.007115
10104,2019-06-04,,0.035430
10104,2019-06-05,,0.001538
10104,2019-06-06,,0.009405
10104,2019-06-07,,0.012740
10104,2019-06-10,,0.014082
10104,2019-06-11,,-0.001296
10104,2019-06-12,,-0.005933
10104,2019-06-13,,0.004103
10104,2019-06-14,,-0.010401
10104,2019-06-17,,-0.002815
10104,2019-06-18,,-0.004329
10104,2019-06-19,,-0.004159
10104,2019-06-20,,0.081815
10104,2019-06-21,,-0.015266
10104,2019-06-24,,0.011048
10104,2019-06-25,,-0.011808
