Date,	TB3MS,	SP500,	Dividend,	Earnings,	Risk-free
01/01/34	,0.72	,10.54	    ,0.44	,0.44	,1.000598029
01/02/34	,0.62	,11.32	    ,0.44	,0.45	,1.000515204
01/03/34	,0.24	,10.74	    ,0.44	,0.45	,1.00019978
01/04/34	,0.15	,10.92	    ,0.44	,0.46	,1.000124914
01/05/34	,0.16	,9.81	    ,0.44	,0.46	,1.000133236
01/06/34	,0.15	,9.94	    ,0.45	,0.47	,1.000124914
01/07/34	,0.15	,9.47	    ,0.45	,0.47	,1.000124914
01/08/34	,0.19	,9.10	    ,0.45	,0.47	,1.000158196
01/09/34	,0.21	,8.88	    ,0.45	,0.48	,1.000174832
01/10/34	,0.27	,8.95	    ,0.45	,0.48	,1.000224722
01/11/34	,0.25	,9.20	    ,0.45	,0.49	,1.000208095
01/12/34	,0.23	,9.26	    ,0.45	,0.49	,1.000191465
01/01/35	,0.2	,9.26	    ,0.45	,0.57	,1.000166514
01/02/35	,0.19	,8.98	    ,0.45	,0.65	,1.000158196
01/03/35	,0.15	,8.41	    ,0.45	,0.73	,1.000124914
01/04/35	,0.15	,9.04	    ,0.45	,0.76	,1.000124914
01/05/35	,0.15	,9.75	    ,0.44	,0.78	,1.000124914
01/06/35	,0.15	,10.12	    ,0.44	,0.81	,1.000124914
01/07/35	,0.15	,10.65	    ,0.44	,0.79	,1.000124914
01/08/35	,0.16	,11.37	    ,0.44	,0.78	,1.000133236
01/09/35	,0.2	,11.61	    ,0.44	,0.76	,1.000166514
01/10/35	,0.2	,11.92	    ,0.45	,0.76	,1.000166514
01/11/35	,0.16	,13.04	    ,0.46	,0.76	,1.000133236
01/12/35	,0.15	,13.04	    ,0.47	,0.76	,1.000124914
01/01/36	,0.2	,13.76	    ,0.48	,0.77	,1.000166514
01/02/36	,0.2	,14.55	    ,0.49	,0.78	,1.000166514
01/03/36	,0.2	,14.86	    ,0.50	,0.79	,1.000166514
01/04/36	,0.2	,14.88	    ,0.52	,0.82	,1.000166514
01/05/36	,0.2	,14.09	    ,0.53	,0.85	,1.000166514
01/06/36	,0.2	,14.69	    ,0.55	,0.88	,1.000166514
01/07/36	,0.15	,15.56	    ,0.57	,0.90	,1.000124914
01/08/36	,0.2	,15.87	    ,0.59	,0.92	,1.000166514
01/09/36	,0.16	,16.05	    ,0.61	,0.94	,1.000133236
01/10/36	,0.13	,16.89	    ,0.65	,0.97	,1.000108269
01/11/36	,0.11	,17.36	    ,0.68	,0.99	,1.00009162
01/12/36	,0.12	,17.06	    ,0.72	,1.02	,1.000099945
01/01/37	,0.17	,17.59	    ,0.73	,1.05	,1.000141556
01/02/37	,0.15	,18.11	    ,0.74	,1.08	,1.000124914
01/03/37	,0.38	,18.09	    ,0.75	,1.11	,1.000316116
01/04/37	,0.56	,17.01	    ,0.78	,1.13	,1.000465473
01/05/37	,0.41	,16.25	    ,0.81	,1.15	,1.000341026
01/06/37	,0.36	,15.64	    ,0.84	,1.17	,1.000299506
01/07/37	,0.28	,16.57	    ,0.82	,1.19	,1.000233034
01/08/37	,0.29	,16.74	    ,0.79	,1.20	,1.000241346
01/09/37	,0.31	,14.37	    ,0.77	,1.22	,1.000257967
01/10/37	,0.2	,12.28	    ,0.78	,1.19	,1.000166514
01/11/37	,0.09	,11.20	    ,0.79	,1.16	,1.000074969
01/12/37	,0.11	,11.02	    ,0.80	,1.13	,1.00009162
01/01/38	,0.1	,11.31	    ,0.79	,1.08	,1.000083295
01/02/38	,0.08	,11.04	    ,0.79	,1.02	,1.000066642
01/03/38	,0.08	,10.31	    ,0.78	,0.97	,1.000066642
01/04/38	,0.09	,9.89	    ,0.77	,0.90	,1.000074969
01/05/38	,0.05	,9.98	    ,0.75	,0.84	,1.000041657
01/06/38	,0.05	,10.21	    ,0.74	,0.77	,1.000041657
01/07/38	,0.07	,12.24	    ,0.71	,0.72	,1.000058315
01/08/38	,0.06	,12.31	    ,0.69	,0.67	,1.000049986
01/09/38	,0.08	,11.75	    ,0.66	,0.62	,1.000066642
01/10/38	,0.05	,13.06	    ,0.61	,0.63	,1.000041657
01/11/38	,0.04	,13.07	    ,0.56	,0.63	,1.000033327
01/12/38	,0.03	,12.69	    ,0.51	,0.64	,1.000024997
01/01/39	,0.03	,12.50	    ,0.51	,0.66	,1.000024997
01/02/39	,0.03	,12.40	    ,0.52	,0.69	,1.000024997
01/03/39	,0.03	,12.39	    ,0.52	,0.71	,1.000024997
01/04/39	,0.03	,10.83	    ,0.52	,0.73	,1.000024997
01/05/39	,0.03	,11.23	    ,0.53	,0.74	,1.000024997
01/06/39	,0.03	,11.43	    ,0.53	,0.76	,1.000024997
01/07/39	,0.04	,11.71	    ,0.54	,0.78	,1.000033327
01/08/39	,0.05	,11.54	    ,0.55	,0.79	,1.000041657
01/09/39	,0.14	,12.77	    ,0.56	,0.81	,1.000116592
01/10/39	,0.05	,12.90	    ,0.58	,0.84	,1.000041657
01/11/39	,0.05	,12.67	    ,0.60	,0.87	,1.000041657
01/12/39	,0.04	,12.37	    ,0.62	,0.90	,1.000033327
01/01/40	,0.01	,12.30	    ,0.62	,0.93	,1.000008333
01/02/40	,0.02	,12.22	    ,0.63	,0.96	,1.000016665
01/03/40	,0.02	,12.15	    ,0.63	,0.99	,1.000016665
01/04/40	,0.02	,12.27	    ,0.64	,1.01	,1.000016665
01/05/40	,0.06	,10.58	    ,0.64	,1.02	,1.000049986
01/06/40	,0.1	,9.67	    ,0.65	,1.04	,1.000083295
01/07/40	,0.05	,9.99	    ,0.66	,1.05	,1.000041657
01/08/40	,0.04	,10.20	    ,0.66	,1.07	,1.000033327
01/09/40	,0.05	,10.63	    ,0.67	,1.08	,1.000041657
01/10/40	,0.02	,10.73	    ,0.67	,1.07	,1.000016665
01/11/40	,0.02	,10.98	    ,0.67	,1.06	,1.000016665
01/12/40	,0.02	,10.53	    ,0.67	,1.05	,1.000016665
01/01/41	,0.02	,10.55	    ,0.67	,1.05	,1.000016665
01/02/41	,0.04	,9.89	    ,0.68	,1.06	,1.000033327
01/03/41	,0.11	,9.95	    ,0.68	,1.06	,1.00009162
01/04/41	,0.1	,9.64	    ,0.68	,1.07	,1.000083295
01/05/41	,0.11	,9.43	    ,0.69	,1.08	,1.00009162
01/06/41	,0.12	,9.76	    ,0.69	,1.09	,1.000099945
01/07/41	,0.12	,10.26	    ,0.69	,1.12	,1.000099945
01/08/41	,0.13	,10.21	    ,0.70	,1.16	,1.000108269
01/09/41	,0.1	,10.24	    ,0.70	,1.19	,1.000083295
01/10/41	,0.09	,9.83	    ,0.70	,1.18	,1.000074969
01/11/41	,0.28	,9.37	    ,0.71	,1.17	,1.000233034
01/12/41	,0.33	,8.76	    ,0.71	,1.16	,1.000274585
01/01/42	,0.27	,8.93	    ,0.70	,1.12	,1.000224722
01/02/42	,0.25	,8.65	    ,0.70	,1.08	,1.000208095
01/03/42	,0.25	,8.18	    ,0.69	,1.04	,1.000208095
01/04/42	,0.32	,7.84	    ,0.68	,1.02	,1.000266276
01/05/42	,0.37	,7.93	    ,0.67	,1.00	,1.000307812
01/06/42	,0.37	,8.33	    ,0.66	,0.98	,1.000307812
01/07/42	,0.38	,8.64	    ,0.65	,0.97	,1.000316116
01/08/42	,0.38	,8.59	    ,0.63	,0.95	,1.000316116
01/09/42	,0.38	,8.68	    ,0.62	,0.94	,1.000316116
01/10/42	,0.38	,9.32	    ,0.61	,0.97	,1.000316116
01/11/42	,0.38	,9.47	    ,0.60	,1.00	,1.000316116
