window_size,n_lags,lambda,r2_insample_stage1,r2_oos_stage1,r2_insample_stage2,r2_oos_stage2,kappa,kappa_tstat,intercept,intercept_tstat,n_observations,n_windows,n_oos_predictions_stage2
120,3,0.0001,0.9765428344735326,-0.8513425481408883,-1.0202423350591516e-08,-0.00042010469415032503,1.390888446032711e-07,1.5603670917929258e-05,0.00041305303126816495,3.45690078310355,8316,8316,8215
120,3,1e-05,0.9923345209433168,-0.9291366430075076,-2.8697044740511046e-12,-0.0004201491517616951,4.4039839741031976e-11,5.133261356818297e-09,0.0004130530311597983,3.456900797380036,8316,8316,8215
120,3,0.001,0.43758216529275706,-0.3062705117782185,-9.193297678677936e-09,-0.00042434584582640156,1.7764551190386656e-07,1.1637434368817979e-05,0.0004130530311864487,3.4569007895888304,8316,8316,8215
80,3,0.0001,0.9803555328403605,-0.6900489406920514,-1.5906342909488558e-10,-0.0004937035924066357,2.113665665256401e-08,2.187370059944641e-06,0.00040538943628402885,3.405692139542874,8356,8356,8255
50,3,0.0001,0.9766499883313168,-0.5838845102206609,-3.4954621419558407e-09,-0.0005158610460742619,3.4634211873430903e-07,3.275323877265067e-05,0.0004061835000645027,3.4226291842568424,8386,8386,8285
30,3,0.0001,0.9632553450688981,-0.5405679199069937,-5.184297435789631e-12,-0.000521565052948203,1.3762587126593838e-10,1.2712901172169582e-08,0.00040851287168777544,3.4479612194881843,8406,8406,8305
30,3,0.001,0.811610315794228,-0.39592148657094683,-4.60431515136861e-09,-0.0005256004088951549,1.2894451164146816e-07,1.0167314453163855e-05,0.00040851287170014635,3.447961214215644,8406,8406,8305
30,3,1e-05,0.965214833410148,-0.5108201230111087,-7.513056843322374e-11,-0.0005317863739868756,2.679461221353345e-09,2.3521615116174332e-07,0.0004085128716869688,3.447961220365343,8406,8406,8305
50,3,1e-05,0.9805970380161603,-0.5752964705623096,-4.94171259468601e-09,-0.0005438881547303875,5.339230013117369e-07,4.994175638435572e-05,0.0004061834999250145,3.4226291811601666,8386,8386,8285
80,3,1e-05,0.9884390152466946,-0.7193487054458378,-1.324702569860392e-09,-0.0005629940659024335,1.5081423081871898e-06,0.00015769389850026004,0.0004053894348465807,3.40569212919493,8356,8356,8255
80,3,0.001,0.5853202348680271,-0.32370370809587623,-8.788008099003264e-09,-0.0005675063570975691,7.709576160517981e-07,5.504813137919649e-05,0.00040538943601413466,3.4056921331352283,8356,8356,8255
50,3,0.001,0.7216731011006998,-0.3636836170628095,-7.662503964667167e-10,-0.0008234073619519666,1.0342665272356291e-07,7.815694749982073e-06,0.00040618350030491155,3.4226291955985095,8386,8386,8285
