window_size,n_lags,lambda,r2_insample_stage1,r2_oos_stage1,r2_insample_stage2,r2_oos_stage2,kappa,kappa_tstat,intercept,intercept_tstat,n_observations,n_windows,n_oos_predictions_stage2
30,3,0.0001,0.9616562033700808,-0.7824380428699669,-2.0374812947920873e-12,-0.00044341251601442977,3.381719332146298e-11,3.7005759256468565e-09,0.00040851287168782916,3.447961221998217,8406,8406,8305
30,3,0.001,0.7401274394799996,-0.5046809742800096,-8.200373713407316e-11,-0.00044467416595250775,1.2743781058311652e-09,1.1156633214142639e-07,0.00040851287168780037,3.447961222083371,8406,8406,8305
300,3,0.0001,0.5306455159592565,-0.8059268702659839,-5.936090063940469e-09,-0.0004682223206851077,1.5137598455007258e-07,1.8085043820346207e-05,0.00040011984158654817,3.290470228288424,8136,8136,8035
30,7,0.0001,0.9632272649875441,-0.545178805804057,-1.6778531897188032e-09,-0.00047506375904227127,3.2053496389907e-08,2.8785775163232617e-06,0.0004054217601571839,3.4211229957175466,8402,8402,8301
30,12,0.0001,0.9637351848508792,-0.5138967213218264,-2.4265400799805548e-09,-0.0005026089867739003,5.238898576488926e-08,4.523981808000097e-06,0.0004061749783244607,3.4260246576963937,8397,8397,8296
30,7,0.001,0.8005989335626305,-0.3782215410833907,-2.866780146604242e-10,-0.0005144238447847282,6.760738445471746e-09,5.165198028186415e-07,0.00040542176020535797,3.421123019887577,8402,8402,8301
30,12,0.001,0.8266062822128354,-0.40331521802187087,-1.1588507931037384e-12,-0.0005238920458945362,1.992885774344037e-11,1.5069846147605652e-09,0.00040617497829895614,3.426024665526626,8397,8397,8296
300,12,0.0001,0.9361345074586274,-0.9015582428159474,-1.7852502365300893e-08,-0.0005249980447799008,5.228667834778714e-07,6.217897239977096e-05,0.00039887831067357614,3.2770164590111373,8127,8127,8026
80,3,0.0001,0.9649761506460431,-1.2753156531519645,0.00048048501186048753,-0.0005362290638806222,0.013581603180785983,2.03136575365129,0.00040537237542875686,3.4063672687681614,8356,8356,8255
80,12,0.0001,0.9819973509788663,-0.6257405062152133,7.659242546864675e-06,-0.000607925246240093,0.002500322577709657,0.25328716215817326,0.00040813500131772583,3.4255695490511697,8347,8347,8246
300,7,0.0001,0.8697390050547007,-1.364462604990584,-7.636113963371827e-12,-0.0006355107203426247,1.4859282571385508e-10,2.251317998459405e-08,0.0003988786330776591,3.278909795624799,8132,8132,8031
80,12,0.001,0.6239010872880236,-0.31600654833290354,0.0002490689242465871,-0.0006524671396468396,0.018887355470060957,1.4684866794797617,0.0004081341803959605,3.425976229230071,8347,8347,8246
500,3,0.0001,0.3172892439414009,-0.3323629998884461,-2.118831776698471e-10,-0.0006564101495551977,1.0384958441508939e-08,7.92960388715077e-07,0.0003856165471883941,3.102435360183949,7936,7936,7835
160,12,0.0001,0.9751305387609959,-0.7021947053296411,-5.716617623718889e-09,-0.0006638520814974402,2.149476392539955e-07,2.1843690275708016e-05,0.00040607822882814413,3.3844527421115704,8267,8267,8166
500,7,0.0001,0.6542369288294364,-0.9909537351379012,-1.4433787498546735e-11,-0.0007981437072652753,1.8906876597354632e-10,2.4308613006049574e-08,0.00038413055026946725,3.0893120683797837,7932,7932,7831
500,12,0.0001,0.8376416593542019,-1.0769324919249486,-2.060995818453648e-11,-0.0008082398732152107,2.6544438892135046e-10,3.4844993183808406e-08,0.00038803795431763933,3.1197278975248124,7927,7927,7826
80,7,0.0001,0.9790825570480577,-0.7651584034224217,3.736888368854885e-06,-0.0008184950265803792,0.001631229983910902,0.17716321027774676,0.0004061125964000697,3.410404308188984,8352,8352,8251
300,3,0.001,0.07141309305674448,-0.051189438476584304,-3.7347374082230544e-09,-0.0009358875135003775,8.931079281469085e-07,2.6288464665335146e-05,0.0004001198414580809,3.2904702378800517,8136,8136,8035
80,7,0.001,0.5584923044533031,-0.3533186898505132,1.0483897846635948e-05,-0.001069096033651462,0.0039978117695550555,0.29711453197518084,0.00040611270235690157,3.4104167031324675,8352,8352,8251
160,3,0.0001,0.8549109172164033,-1.96294623134383,5.616027952803915e-05,-0.0011230898726537486,0.003658214051919689,0.6841328456001143,0.0004041143479081594,3.3714271675609724,8276,8276,8175
160,12,0.001,0.3762514197867029,-0.22619780999037342,-1.864952636765338e-12,-0.0011506499320639296,1.247513708787819e-10,7.21275461751761e-09,0.00040607822882232294,3.384452751185226,8267,8267,8166
160,3,0.001,0.19764488314788645,-0.18463579240459005,-1.2105227931158424e-10,-0.001246265374839961,5.057739432547828e-09,2.863417743260129e-07,0.0004041177109970103,3.371360555361327,8276,8276,8175
80,3,0.001,0.43594489304321876,-0.36230395709944707,6.71330727101127e-05,-0.0012696454248100064,0.00902579966457249,0.7557560108065786,0.0004053833990033546,3.4057557479568077,8356,8356,8255
500,3,0.001,0.024490661653803206,-0.011762268865944447,-5.296848959446265e-09,-0.0014564521262421248,1.4623300104725208e-05,0.00022867111732916963,0.0003856165471968296,3.102435363855685,7936,7936,7835
160,7,0.0001,0.9611600647248696,-0.9963826592342178,-3.951873051022403e-09,-0.0014883544834447537,2.0587609692788956e-07,2.5823179021226442e-05,0.0004046472039393798,3.3742536206010345,8272,8272,8171
300,12,0.001,0.17821207647155868,-0.11905431914922682,-6.80620004800403e-11,-0.0034162880685244534,4.8758800608867514e-09,2.0916451737258926e-07,0.00039887831044146087,3.2770164876686083,8127,8127,8026
160,7,0.001,0.307132072101835,-0.2348254721574039,-6.4904455143732775e-09,-0.0034680531615451926,0.00012616886027308485,0.007855111873473368,0.000404647203825451,3.374253615387279,8272,8272,8171
300,7,0.001,0.13186704003450134,-0.10495511772891652,-7.009948177483238e-13,-0.004198101099664342,4.3037285525433905e-11,1.7296797368522037e-09,0.00039887863307765944,3.278909795227197,8132,8132,8031
500,7,0.001,0.04986471115624338,-0.030474990450050976,-8.637953907708606e-09,-0.004800382655054891,1.2133479740625156e-05,0.0002605232794379049,0.0003841305502694936,3.089312059653278,7932,7932,7831
500,12,0.001,0.07660498395550273,-0.03800531366498494,-1.0725245136455896e-09,-0.00584620650047496,2.964424591738173e-07,7.549388411310949e-06,0.0003880379543167859,3.1197279677240117,7927,7927,7826
